pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
61,上海,0.9,72,良,92,aqi_redis_spider,17,2018-05-12 08:19:31.356000,2015-04-01,83,69
43,上海,0.6,49,良,145,aqi_redis_spider,9,2018-05-12 08:19:31.366000,2015-05-01,88,21
19,上海,0.7,32,优,60,aqi_redis_spider,10,2018-05-12 08:19:31.368000,2014-08-02,32,22
56,上海,0.9,82,轻度污染,163,aqi_redis_spider,17,2018-05-12 08:19:31.370000,2014-08-03,103,33
74,上海,1,105,轻度污染,215,aqi_redis_spider,17,2018-05-12 08:19:31.373000,2014-08-04,150,36
41,上海,0.7,57,良,159,aqi_redis_spider,11,2018-05-12 08:19:31.376000,2014-08-05,99,24
52,上海,0.8,72,轻度污染,161,aqi_redis_spider,17,2018-05-12 08:19:31.379000,2014-09-02,101,38
43,上海,1.1,54,良,102,aqi_redis_spider,16,2018-05-12 08:19:31.381000,2014-09-03,60,47
105,上海,1.3,123,轻度污染,198,aqi_redis_spider,30,2018-05-12 08:19:31.383000,2014-09-04,138,44
80,上海,0.9,95,轻度污染,186,aqi_redis_spider,13,2018-05-12 08:19:31.385000,2014-09-05,124,32
42,上海,0.7,55,良,136,aqi_redis_spider,11,2018-05-12 08:19:31.388000,2014-09-06,80,28
53,上海,0.8,69,良,146,aqi_redis_spider,16,2018-05-12 08:19:31.391000,2014-10-03,88,25
16,上海,0.6,40,良,126,aqi_redis_spider,12,2018-05-12 08:19:31.394000,2014-10-04,72,20
29,上海,0.7,62,良,130,aqi_redis_spider,14,2018-05-12 08:19:31.396000,2014-10-05,75,23
37,上海,0.8,62,良,128,aqi_redis_spider,14,2018-05-12 08:19:31.398000,2014-10-06,73,23
56,上海,0.9,67,良,86,aqi_redis_spider,20,2018-05-12 08:19:31.400000,2014-11-02,77,41
35,上海,0.7,67,良,92,aqi_redis_spider,23,2018-05-12 08:19:31.402000,2014-11-03,58,49
41,上海,0.8,70,良,109,aqi_redis_spider,18,2018-05-12 08:19:31.405000,2014-11-04,60,71
36,上海,0.7,58,良,114,aqi_redis_spider,14,2018-05-12 08:19:31.409000,2014-11-05,62,56
