pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
27,上海,0.6,50,良,128,aqi_redis_spider,10,2018-05-12 08:19:42.151000,2015-05-08,73,35
20,上海,0.6,27,良,106,aqi_redis_spider,8,2018-05-12 08:19:42.153000,2015-05-09,55,25
35,上海,0.6,49,良,146,aqi_redis_spider,11,2018-05-12 08:19:42.156000,2015-05-10,88,26
52,上海,1.1,69,良,107,aqi_redis_spider,18,2018-05-12 08:19:42.159000,2014-08-10,72,40
34,上海,0.7,48,良,131,aqi_redis_spider,13,2018-05-12 08:19:42.161000,2014-08-11,76,27
34,上海,0.7,53,良,108,aqi_redis_spider,14,2018-05-12 08:19:42.164000,2014-08-12,57,43
46,上海,0.7,62,良,124,aqi_redis_spider,10,2018-05-12 08:19:42.166000,2014-08-13,70,22
26,上海,0.8,36,优,94,aqi_redis_spider,11,2018-05-12 08:19:42.168000,2014-08-14,47,30
45,上海,0.7,66,良,110,aqi_redis_spider,13,2018-05-12 08:19:42.170000,2014-09-10,62,28
16,上海,0.6,38,良,128,aqi_redis_spider,13,2018-05-12 08:19:42.173000,2014-09-11,73,30
20,上海,0.7,45,良,104,aqi_redis_spider,11,2018-05-12 08:19:42.176000,2014-09-12,53,34
16,上海,0.6,24,优,87,aqi_redis_spider,9,2018-05-12 08:19:42.178000,2014-09-13,44,27
24,上海,0.6,48,良,133,aqi_redis_spider,9,2018-05-12 08:19:42.188000,2016-06-01,78,27
34,上海,0.7,56,良,133,aqi_redis_spider,13,2018-05-12 08:19:42.192000,2014-10-11,78,23
29,上海,0.7,68,良,124,aqi_redis_spider,11,2018-05-12 08:19:42.194000,2014-10-12,70,16
28,上海,0.7,85,良,122,aqi_redis_spider,18,2018-05-12 08:19:42.196000,2014-10-13,68,25
40,上海,0.9,89,良,108,aqi_redis_spider,30,2018-05-12 08:19:42.198000,2014-10-14,70,48
96,上海,1.2,140,轻度污染,148,aqi_redis_spider,44,2018-05-12 08:19:42.200000,2014-10-15,127,91
64,上海,0.9,77,良,102,aqi_redis_spider,21,2018-05-12 08:19:42.202000,2014-11-10,87,39
55,上海,0.9,81,良,96,aqi_redis_spider,23,2018-05-12 08:19:42.205000,2014-11-11,75,68
137,上海,1.4,167,中度污染,72,aqi_redis_spider,37,2018-05-12 08:19:42.208000,2014-11-12,182,67
30,上海,0.6,73,良,72,aqi_redis_spider,22,2018-05-12 08:19:42.211000,2014-11-13,61,47
19,上海,0.7,28,优,59,aqi_redis_spider,19,2018-05-12 08:19:42.213000,2014-01-14,30,39
27,上海,0.6,38,优,64,aqi_redis_spider,20,2018-05-12 08:19:42.215000,2014-01-15,39,41
80,上海,1.1,93,轻度污染,60,aqi_redis_spider,27,2018-05-12 08:19:42.217000,2014-01-16,106,69
97,上海,1.4,111,轻度污染,35,aqi_redis_spider,35,2018-05-12 08:19:42.220000,2014-01-17,127,90
160,上海,1.3,174,重度污染,63,aqi_redis_spider,42,2018-05-12 08:19:42.224000,2014-01-18,210,54
24,上海,0.7,29,优,65,aqi_redis_spider,13,2018-05-12 08:19:42.226000,2014-02-12,35,29
24,上海,0.6,34,优,76,aqi_redis_spider,12,2018-05-12 08:19:42.228000,2014-02-13,38,23
40,上海,0.7,55,良,84,aqi_redis_spider,16,2018-05-12 08:19:42.230000,2014-02-14,57,32
29,上海,0.5,36,优,79,aqi_redis_spider,14,2018-05-12 08:19:42.232000,2014-02-15,41,35
20,上海,0.5,21,优,65,aqi_redis_spider,10,2018-05-12 08:19:42.235000,2014-02-16,33,38
29,上海,0.7,31,优,79,aqi_redis_spider,15,2018-05-12 08:19:42.237000,2014-03-12,41,46
36,上海,0.6,66,良,78,aqi_redis_spider,20,2018-05-12 08:19:42.240000,2014-03-13,58,41
80,上海,1,119,轻度污染,98,aqi_redis_spider,40,2018-05-12 08:19:42.243000,2014-03-14,106,84
85,上海,0.8,125,轻度污染,134,aqi_redis_spider,30,2018-05-12 08:19:42.245000,2014-03-15,113,72
101,上海,1.4,145,轻度污染,63,aqi_redis_spider,26,2018-05-12 08:19:42.247000,2016-01-02,133,87
157,上海,1.8,187,重度污染,33,aqi_redis_spider,28,2018-05-12 08:19:42.250000,2016-01-03,207,127
124,上海,1.4,150,中度污染,90,aqi_redis_spider,28,2018-05-12 08:19:42.252000,2016-01-04,163,84
25,上海,0.6,29,良,103,aqi_redis_spider,13,2018-05-12 08:19:42.255000,2016-01-05,53,28
141,上海,1.5,158,中度污染,27,aqi_redis_spider,30,2018-05-12 08:19:42.258000,2014-04-17,187,87
73,上海,0.9,45,良,103,aqi_redis_spider,19,2018-05-12 08:19:42.261000,2014-04-18,97,46
24,上海,0.6,22,良,103,aqi_redis_spider,8,2018-05-12 08:19:42.263000,2014-04-19,53,28
35,上海,0.5,49,优,98,aqi_redis_spider,9,2018-05-12 08:19:42.265000,2014-04-20,50,29
55,上海,0.8,99,良,155,aqi_redis_spider,19,2018-05-12 08:19:42.267000,2014-05-15,96,46
53,上海,0.7,99,良,157,aqi_redis_spider,17,2018-05-12 08:19:42.269000,2014-05-16,98,51
51,上海,0.7,55,良,126,aqi_redis_spider,7,2018-05-12 08:19:42.272000,2014-05-17,72,25
27,上海,0.6,43,良,109,aqi_redis_spider,7,2018-05-12 08:19:42.275000,2014-05-18,58,24
50,上海,0.7,79,良,146,aqi_redis_spider,12,2018-05-12 08:19:42.277000,2014-06-15,88,41
22,上海,0.6,35,优,93,aqi_redis_spider,7,2018-05-12 08:19:42.280000,2014-06-16,47,21
37,上海,0.9,56,良,86,aqi_redis_spider,10,2018-05-12 08:19:42.282000,2014-06-17,53,40
23,上海,0.6,35,良,107,aqi_redis_spider,8,2018-05-12 08:19:42.284000,2014-06-18,56,30
36,上海,0.6,47,良,121,aqi_redis_spider,7,2018-05-12 08:19:42.286000,2014-06-19,68,23
27,上海,0.5,37,良,136,aqi_redis_spider,8,2018-05-12 08:19:42.289000,2015-06-07,80,21
22,上海,0.7,20,优,86,aqi_redis_spider,8,2018-05-12 08:19:42.292000,2015-06-08,43,42
55,上海,0.8,66,良,132,aqi_redis_spider,14,2018-05-12 08:19:42.294000,2015-06-09,77,51
34,上海,0.6,43,优,96,aqi_redis_spider,8,2018-05-12 08:19:42.297000,2015-06-10,49,32
205,上海,1.7,221,重度污染,24,aqi_redis_spider,90,2018-05-12 08:19:42.921000,2013-12-20,255,73
61,上海,1,67,良,42,aqi_redis_spider,38,2018-05-12 08:19:42.924000,2013-12-21,82,46
55,上海,0.7,63,良,42,aqi_redis_spider,26,2018-05-12 08:19:42.926000,2013-12-22,75,46
56,上海,0.9,63,良,53,aqi_redis_spider,26,2018-05-12 08:19:42.928000,2013-12-23,76,50
131,上海,1.4,142,中度污染,43,aqi_redis_spider,58,2018-05-12 08:19:42.930000,2013-12-24,173,54
71,上海,0.9,65,轻度污染,173,aqi_redis_spider,11,2018-05-12 08:19:42.933000,2014-07-14,112,33
40,上海,0.9,51,良,114,aqi_redis_spider,9,2018-05-12 08:19:42.935000,2014-07-15,62,53
63,上海,0.9,82,良,106,aqi_redis_spider,13,2018-05-12 08:19:42.937000,2014-07-16,85,51
23,上海,0.6,45,良,112,aqi_redis_spider,9,2018-05-12 08:19:42.939000,2014-07-17,60,22
17,上海,0.6,35,优,90,aqi_redis_spider,9,2018-05-12 08:19:42.941000,2014-07-18,45,19
82,上海,1,124,轻度污染,51,aqi_redis_spider,24,2018-05-12 08:19:42.944000,2014-12-11,108,45
72,上海,1.1,142,良,42,aqi_redis_spider,42,2018-05-12 08:19:42.946000,2014-12-12,96,63
70,上海,1.3,131,良,42,aqi_redis_spider,50,2018-05-12 08:19:42.948000,2014-12-13,94,74
87,上海,1.5,131,轻度污染,48,aqi_redis_spider,40,2018-05-12 08:19:42.950000,2014-12-14,115,85
80,上海,1.3,122,轻度污染,26,aqi_redis_spider,38,2018-05-12 08:19:42.952000,2014-12-15,107,85
30,上海,0.8,53,良,109,aqi_redis_spider,11,2018-05-12 08:19:48.118000,2016-07-01,58,38
14,上海,0.5,29,优,64,aqi_redis_spider,10,2018-05-12 08:19:48.130000,2016-08-01,32,13
63,上海,1,95,轻度污染,204,aqi_redis_spider,16,2018-05-12 08:19:48.141000,2016-09-01,140,37
51,上海,1,76,良,94,aqi_redis_spider,13,2018-05-12 08:19:48.151000,2016-10-01,70,43
22,上海,0.6,32,优,90,aqi_redis_spider,13,2018-05-12 08:19:48.153000,2016-10-02,45,23
14,上海,0.4,28,优,84,aqi_redis_spider,10,2018-05-12 08:19:48.164000,2016-11-01,42,23
97,上海,1.3,131,轻度污染,93,aqi_redis_spider,27,2018-05-12 08:19:48.175000,2016-12-01,128,69
53,上海,1,67,良,74,aqi_redis_spider,22,2018-05-12 08:19:48.178000,2016-02-03,75,60
35,上海,0.8,46,良,63,aqi_redis_spider,19,2018-05-12 08:19:48.180000,2016-02-04,80,64
134,上海,1.5,142,中度污染,122,aqi_redis_spider,34,2018-05-12 08:19:48.183000,2016-02-05,178,78
56,上海,1,72,良,98,aqi_redis_spider,23,2018-05-12 08:19:48.185000,2016-02-06,77,34
67,上海,0.8,92,良,120,aqi_redis_spider,18,2018-05-12 08:19:48.188000,2016-03-02,90,52
66,上海,0.9,109,轻度污染,91,aqi_redis_spider,22,2018-05-12 08:19:48.192000,2016-03-03,101,82
28,上海,0.5,55,良,102,aqi_redis_spider,17,2018-05-12 08:19:48.195000,2016-03-04,53,41
53,上海,0.8,65,良,93,aqi_redis_spider,11,2018-05-12 08:19:48.198000,2016-04-03,73,50
21,上海,0.5,47,良,103,aqi_redis_spider,14,2018-05-12 08:19:48.201000,2016-04-04,53,37
24,上海,0.5,49,良,82,aqi_redis_spider,16,2018-05-12 08:19:48.204000,2016-04-05,60,48
38,上海,0.7,52,良,118,aqi_redis_spider,11,2018-05-12 08:19:48.209000,2016-05-02,65,36
33,上海,0.6,93,良,146,aqi_redis_spider,13,2018-05-12 08:19:48.212000,2016-05-03,89,38
48,上海,0.7,111,轻度污染,187,aqi_redis_spider,17,2018-05-12 08:19:48.215000,2016-05-04,125,60
39,上海,0.7,70,良,115,aqi_redis_spider,10,2018-05-12 08:19:48.217000,2016-05-05,63,48
33,上海,0.9,49,良,66,aqi_redis_spider,19,2018-05-12 08:19:48.228000,2017-01-01,82,65
17,上海,0.6,25,良,111,aqi_redis_spider,9,2018-05-12 08:19:48.230000,2015-07-07,59,23
24,上海,0.6,33,良,103,aqi_redis_spider,9,2018-05-12 08:19:48.232000,2015-07-08,53,25
25,上海,0.5,36,优,90,aqi_redis_spider,9,2018-05-12 08:19:48.234000,2015-07-09,45,25
18,上海,0.4,33,优,63,aqi_redis_spider,9,2018-05-12 08:19:48.237000,2015-07-10,33,12
6,上海,0.4,8,优,61,aqi_redis_spider,7,2018-05-12 08:19:48.240000,2015-07-11,31,5
22,上海,0.5,46,优,78,aqi_redis_spider,10,2018-05-12 08:19:48.244000,2015-08-06,46,13
15,上海,0.5,33,优,37,aqi_redis_spider,9,2018-05-12 08:19:48.247000,2015-08-07,33,12
11,上海,0.5,33,优,39,aqi_redis_spider,8,2018-05-12 08:19:48.250000,2015-08-08,33,10
10,上海,0.5,28,优,37,aqi_redis_spider,8,2018-05-12 08:19:48.252000,2015-08-09,28,10
39,上海,0.9,48,良,125,aqi_redis_spider,17,2018-05-12 08:19:48.255000,2015-09-06,71,28
18,上海,0.6,31,良,123,aqi_redis_spider,13,2018-05-12 08:19:48.258000,2015-09-07,70,24
15,上海,0.5,27,良,127,aqi_redis_spider,11,2018-05-12 08:19:48.260000,2015-09-08,73,22
15,上海,0.4,28,良,139,aqi_redis_spider,12,2018-05-12 08:19:48.263000,2015-09-09,83,26
21,上海,0.6,34,良,126,aqi_redis_spider,11,2018-05-12 08:19:48.269000,2015-10-06,72,34
18,上海,0.6,33,良,130,aqi_redis_spider,11,2018-05-12 08:19:48.273000,2015-10-07,75,22
18,上海,0.6,36,优,100,aqi_redis_spider,10,2018-05-12 08:19:48.277000,2015-10-08,50,32
21,上海,0.6,37,优,75,aqi_redis_spider,13,2018-05-12 08:19:48.280000,2015-11-06,43,34
47,上海,1.1,52,良,48,aqi_redis_spider,16,2018-05-12 08:19:48.284000,2015-11-07,65,39
91,上海,2.1,110,轻度污染,12,aqi_redis_spider,22,2018-05-12 08:19:48.287000,2015-11-08,120,49
103,上海,1.6,154,轻度污染,27,aqi_redis_spider,31,2018-05-12 08:19:48.291000,2015-12-06,135,77
81,上海,1.3,103,轻度污染,73,aqi_redis_spider,25,2018-05-12 08:19:48.295000,2015-12-07,108,68
32,上海,0.7,51,良,74,aqi_redis_spider,16,2018-05-12 08:19:48.298000,2015-12-08,78,62
206,上海,1.9,247,重度污染,82,aqi_redis_spider,75,2018-05-12 08:19:48.301000,2015-01-11,256,108
24,上海,0.6,35,优,63,aqi_redis_spider,14,2018-05-12 08:19:48.304000,2015-01-12,35,31
18,上海,0.6,30,优,55,aqi_redis_spider,14,2018-05-12 08:19:48.308000,2015-01-13,30,47
22,上海,0.7,25,优,53,aqi_redis_spider,10,2018-05-12 08:19:48.312000,2015-01-14,31,41
76,上海,1.1,93,轻度污染,95,aqi_redis_spider,25,2018-05-12 08:19:48.315000,2015-02-11,101,77
165,上海,1.6,218,重度污染,80,aqi_redis_spider,51,2018-05-12 08:19:48.318000,2015-02-12,215,72
47,上海,0.8,60,良,114,aqi_redis_spider,20,2018-05-12 08:19:48.321000,2015-02-13,65,49
43,上海,0.8,61,良,86,aqi_redis_spider,19,2018-05-12 08:19:48.325000,2015-03-11,59,60
86,上海,0.9,109,轻度污染,143,aqi_redis_spider,30,2018-05-12 08:19:48.329000,2015-03-12,114,55
96,上海,1.2,125,轻度污染,112,aqi_redis_spider,26,2018-05-12 08:19:48.332000,2015-03-13,126,89
43,上海,0.6,57,良,121,aqi_redis_spider,14,2018-05-12 08:19:48.334000,2015-04-10,68,52
42,上海,0.5,61,良,132,aqi_redis_spider,13,2018-05-12 08:19:48.337000,2015-04-11,77,48
51,上海,0.6,69,良,148,aqi_redis_spider,13,2018-05-12 08:19:48.341000,2015-04-12,90,43
46,上海,0.6,81,良,99,aqi_redis_spider,15,2018-05-12 08:19:48.343000,2015-04-13,65,35
28,上海,0.7,36,良,111,aqi_redis_spider,9,2018-05-12 08:19:48.346000,2015-05-11,59,30
42,上海,0.7,94,良,129,aqi_redis_spider,16,2018-05-12 08:19:48.349000,2015-05-12,74,47
51,上海,0.7,96,轻度污染,179,aqi_redis_spider,24,2018-05-12 08:19:48.351000,2015-05-13,117,60
57,上海,0.8,81,良,115,aqi_redis_spider,18,2018-05-12 08:19:48.353000,2015-05-14,77,58
34,上海,0.8,50,优,91,aqi_redis_spider,14,2018-05-12 08:19:48.357000,2014-08-15,50,44
40,上海,0.7,44,良,114,aqi_redis_spider,11,2018-05-12 08:19:48.360000,2014-08-16,62,26
24,上海,0.7,31,优,88,aqi_redis_spider,8,2018-05-12 08:19:48.363000,2014-08-17,44,31
41,上海,1.1,48,良,78,aqi_redis_spider,15,2018-05-12 08:19:48.365000,2014-08-18,58,48
16,上海,0.5,35,优,94,aqi_redis_spider,9,2018-05-12 08:19:48.368000,2014-09-14,47,19
14,上海,0.6,30,良,104,aqi_redis_spider,10,2018-05-12 08:19:48.371000,2014-09-15,53,22
30,上海,0.6,48,良,123,aqi_redis_spider,11,2018-05-12 08:19:48.374000,2014-09-16,69,30
37,上海,0.5,46,良,122,aqi_redis_spider,10,2018-05-12 08:19:48.378000,2016-06-02,69,29
19,上海,0.5,28,良,120,aqi_redis_spider,8,2018-05-12 08:19:48.381000,2016-06-03,67,28
40,上海,0.8,55,良,118,aqi_redis_spider,10,2018-05-12 08:19:48.383000,2016-06-04,65,32
29,上海,0.6,32,良,117,aqi_redis_spider,10,2018-05-12 08:19:48.386000,2016-06-05,65,27
105,上海,1.2,146,轻度污染,143,aqi_redis_spider,31,2018-05-12 08:19:48.390000,2014-10-16,137,87
22,上海,0.6,55,良,99,aqi_redis_spider,13,2018-05-12 08:19:48.394000,2014-10-17,53,47
17,上海,0.6,40,良,102,aqi_redis_spider,9,2018-05-12 08:19:48.397000,2014-10-18,52,36
47,上海,0.8,86,良,90,aqi_redis_spider,25,2018-05-12 08:19:48.399000,2014-11-14,68,80
41,上海,0.7,70,良,98,aqi_redis_spider,15,2018-05-12 08:19:48.401000,2014-11-15,60,60
65,上海,0.9,72,良,68,aqi_redis_spider,14,2018-05-12 08:19:48.404000,2014-11-16,88,54
122,上海,1.1,136,中度污染,98,aqi_redis_spider,30,2018-05-12 08:19:48.408000,2014-11-17,160,51
120,上海,1.3,131,中度污染,74,aqi_redis_spider,33,2018-05-12 08:19:48.411000,2014-01-19,157,61
188,上海,1.8,243,重度污染,42,aqi_redis_spider,59,2018-05-12 08:19:48.413000,2014-01-20,238,76
51,上海,1,102,良,42,aqi_redis_spider,29,2018-05-12 08:19:48.416000,2014-01-21,76,44
50,上海,1,60,良,39,aqi_redis_spider,37,2018-05-12 08:19:48.418000,2014-01-22,69,62
26,上海,0.7,24,优,63,aqi_redis_spider,12,2018-05-12 08:19:48.421000,2014-02-17,37,42
23,上海,0.7,25,优,73,aqi_redis_spider,11,2018-05-12 08:19:48.425000,2014-02-18,37,28
59,上海,1.1,68,良,55,aqi_redis_spider,24,2018-05-12 08:19:48.428000,2014-02-19,80,52
70,上海,0.7,107,良,138,aqi_redis_spider,23,2018-05-12 08:19:48.431000,2014-03-16,93,57
79,上海,1,111,轻度污染,115,aqi_redis_spider,24,2018-05-12 08:19:48.433000,2014-03-17,105,70
138,上海,1.4,203,中度污染,138,aqi_redis_spider,35,2018-05-12 08:19:48.435000,2014-03-18,182,91
69,上海,0.8,193,轻度污染,95,aqi_redis_spider,14,2018-05-12 08:19:48.438000,2014-03-19,122,43
46,上海,0.7,60,良,80,aqi_redis_spider,18,2018-05-12 08:19:48.442000,2016-01-06,64,35
75,上海,1.1,97,良,59,aqi_redis_spider,25,2018-05-12 08:19:48.444000,2016-01-07,100,62
66,上海,1,90,良,66,aqi_redis_spider,34,2018-05-12 08:19:48.447000,2016-01-08,89,57
112,上海,1.3,129,轻度污染,90,aqi_redis_spider,41,2018-05-12 08:19:48.449000,2016-01-09,147,83
46,上海,0.7,51,良,96,aqi_redis_spider,11,2018-05-12 08:19:48.451000,2014-04-21,64,46
54,上海,0.8,63,良,104,aqi_redis_spider,15,2018-05-12 08:19:48.454000,2014-04-22,73,56
71,上海,1,97,良,125,aqi_redis_spider,17,2018-05-12 08:19:48.458000,2014-04-23,95,72
54,上海,0.7,63,良,123,aqi_redis_spider,12,2018-05-12 08:19:48.461000,2014-04-24,73,32
43,上海,0.7,54,良,89,aqi_redis_spider,7,2018-05-12 08:19:48.464000,2014-05-19,60,36
67,上海,0.9,65,良,131,aqi_redis_spider,14,2018-05-12 08:19:48.466000,2014-05-20,90,45
92,上海,0.9,120,轻度污染,207,aqi_redis_spider,19,2018-05-12 08:19:48.468000,2014-05-21,143,46
70,上海,0.7,83,良,154,aqi_redis_spider,12,2018-05-12 08:19:48.471000,2014-05-22,95,31
33,上海,0.7,43,优,100,aqi_redis_spider,8,2018-05-12 08:19:48.474000,2014-06-20,50,41
30,上海,0.7,34,优,76,aqi_redis_spider,8,2018-05-12 08:19:48.477000,2014-06-21,42,35
21,上海,0.5,31,优,92,aqi_redis_spider,8,2018-05-12 08:19:48.480000,2014-06-22,46,28
35,上海,0.7,44,优,72,aqi_redis_spider,9,2018-05-12 08:19:48.483000,2014-06-23,50,37
60,上海,0.9,110,良,155,aqi_redis_spider,19,2018-05-12 08:19:48.492000,2015-06-11,96,49
68,上海,0.9,145,轻度污染,213,aqi_redis_spider,20,2018-05-12 08:19:48.503000,2015-06-12,148,53
109,上海,1.4,125,轻度污染,34,aqi_redis_spider,40,2018-05-12 08:19:49.125000,2013-12-25,142,68
220,上海,1.7,244,重度污染,17,aqi_redis_spider,81,2018-05-12 08:19:49.127000,2013-12-26,270,73
53,上海,1,70,良,36,aqi_redis_spider,40,2018-05-12 08:19:49.129000,2013-12-27,72,44
102,上海,1.5,118,轻度污染,29,aqi_redis_spider,72,2018-05-12 08:19:49.131000,2013-12-28,134,75
151,上海,1.9,181,重度污染,27,aqi_redis_spider,81,2018-05-12 08:19:49.134000,2013-12-29,201,83
22,上海,0.6,45,良,107,aqi_redis_spider,10,2018-05-12 08:19:49.136000,2014-07-19,56,25
22,上海,0.6,39,良,124,aqi_redis_spider,8,2018-05-12 08:19:49.139000,2014-07-20,70,23
20,上海,0.5,34,良,116,aqi_redis_spider,9,2018-05-12 08:19:49.142000,2014-07-21,63,19
15,上海,0.6,35,良,117,aqi_redis_spider,9,2018-05-12 08:19:49.144000,2014-07-22,64,18
84,上海,1.2,167,轻度污染,46,aqi_redis_spider,43,2018-05-12 08:19:49.146000,2014-12-16,111,57
43,上海,1,107,良,47,aqi_redis_spider,37,2018-05-12 08:19:49.149000,2014-12-17,78,58
47,上海,0.9,89,良,44,aqi_redis_spider,25,2018-05-12 08:19:49.151000,2014-12-18,70,64
72,上海,1.2,114,良,13,aqi_redis_spider,32,2018-05-12 08:19:49.154000,2014-12-19,96,88
31,上海,0.7,37,优,90,aqi_redis_spider,12,2018-05-12 08:19:52.281000,2017-02-01,45,20
52,上海,0.8,96,良,96,aqi_redis_spider,15,2018-05-12 08:19:52.292000,2017-03-01,73,58
66,上海,1,88,良,133,aqi_redis_spider,17,2018-05-12 08:19:52.301000,2017-04-01,99,79
83,上海,0.9,93,轻度污染,138,aqi_redis_spider,17,2018-05-12 08:19:52.304000,2017-04-02,110,61
28,上海,0.6,54,良,126,aqi_redis_spider,11,2018-05-12 08:19:52.315000,2017-05-01,72,33
19,上海,0.8,36,良,69,aqi_redis_spider,10,2018-05-12 08:19:52.317000,2016-07-02,52,41
54,上海,0.9,74,良,109,aqi_redis_spider,11,2018-05-12 08:19:52.320000,2016-07-03,74,42
36,上海,0.7,48,良,151,aqi_redis_spider,11,2018-05-12 08:19:52.323000,2016-07-04,93,28
23,上海,0.7,42,良,144,aqi_redis_spider,10,2018-05-12 08:19:52.326000,2016-07-05,87,33
16,上海,0.6,36,良,108,aqi_redis_spider,10,2018-05-12 08:19:52.328000,2016-08-02,57,18
18,上海,0.7,37,优,58,aqi_redis_spider,9,2018-05-12 08:19:52.330000,2016-08-03,50,40
26,上海,0.7,39,良,99,aqi_redis_spider,13,2018-05-12 08:19:52.332000,2016-08-04,62,49
20,上海,0.6,32,优,81,aqi_redis_spider,9,2018-05-12 08:19:52.334000,2016-08-05,41,24
16,上海,0.6,28,优,78,aqi_redis_spider,10,2018-05-12 08:19:52.336000,2016-08-06,39,18
68,上海,1.1,97,中度污染,228,aqi_redis_spider,16,2018-05-12 08:19:52.340000,2016-09-02,163,42
66,上海,0.9,82,轻度污染,174,aqi_redis_spider,14,2018-05-12 08:19:52.343000,2016-09-03,113,33
32,上海,0.7,42,良,117,aqi_redis_spider,11,2018-05-12 08:19:52.345000,2016-09-04,65,18
28,上海,0.8,42,良,120,aqi_redis_spider,13,2018-05-12 08:19:52.347000,2016-09-05,67,28
26,上海,0.9,27,优,93,aqi_redis_spider,11,2018-05-12 08:19:52.349000,2016-10-03,47,28
17,上海,0.6,31,优,77,aqi_redis_spider,10,2018-05-12 08:19:52.351000,2016-10-04,39,24
35,上海,0.7,51,良,89,aqi_redis_spider,12,2018-05-12 08:19:52.354000,2016-10-05,51,27
24,上海,0.6,44,良,126,aqi_redis_spider,10,2018-05-12 08:19:52.357000,2016-10-06,72,20
28,上海,0.6,53,良,83,aqi_redis_spider,13,2018-05-12 08:19:52.360000,2016-11-02,78,62
63,上海,1.1,96,轻度污染,96,aqi_redis_spider,19,2018-05-12 08:19:52.362000,2016-11-03,104,87
67,上海,0.9,87,轻度污染,132,aqi_redis_spider,16,2018-05-12 08:19:52.365000,2016-11-04,101,81
70,上海,0.9,95,轻度污染,126,aqi_redis_spider,16,2018-05-12 08:19:52.367000,2016-11-05,101,82
64,上海,0.9,68,良,94,aqi_redis_spider,17,2018-05-12 08:19:52.369000,2016-11-06,89,71
27,上海,0.8,48,良,79,aqi_redis_spider,14,2018-05-12 08:19:52.372000,2016-12-02,73,58
24,上海,0.7,44,良,85,aqi_redis_spider,14,2018-05-12 08:19:52.375000,2016-12-03,75,60
79,上海,1.3,119,轻度污染,62,aqi_redis_spider,23,2018-05-12 08:19:52.377000,2016-12-04,106,92
121,上海,1.5,159,中度污染,72,aqi_redis_spider,25,2018-05-12 08:19:52.379000,2016-12-05,159,94
59,上海,1,90,良,119,aqi_redis_spider,22,2018-05-12 08:19:52.381000,2016-02-07,80,48
86,上海,0.9,140,轻度污染,121,aqi_redis_spider,24,2018-05-12 08:19:52.383000,2016-02-08,114,45
75,上海,1,112,良,124,aqi_redis_spider,26,2018-05-12 08:19:52.386000,2016-02-09,100,49
32,上海,0.6,55,良,129,aqi_redis_spider,19,2018-05-12 08:19:52.389000,2016-02-10,75,29
83,上海,0.9,123,轻度污染,145,aqi_redis_spider,19,2018-05-12 08:19:52.392000,2016-03-05,110,48
81,上海,0.8,91,轻度污染,75,aqi_redis_spider,12,2018-05-12 08:19:52.394000,2016-03-06,108,37
72,上海,0.9,100,良,82,aqi_redis_spider,14,2018-05-12 08:19:52.396000,2016-03-07,97,52
14,上海,0.5,20,优,91,aqi_redis_spider,10,2018-05-12 08:19:52.398000,2016-03-08,46,25
16,上海,0.5,45,优,97,aqi_redis_spider,10,2018-05-12 08:19:52.400000,2016-03-09,49,18
33,上海,0.7,42,良,74,aqi_redis_spider,11,2018-05-12 08:19:52.405000,2016-04-06,68,54
60,上海,1.1,93,良,44,aqi_redis_spider,15,2018-05-12 08:19:52.408000,2016-04-07,89,71
40,上海,0.6,43,良,89,aqi_redis_spider,13,2018-05-12 08:19:52.410000,2016-04-08,79,63
44,上海,0.6,68,良,116,aqi_redis_spider,14,2018-05-12 08:19:52.413000,2016-04-09,74,59
69,上海,0.7,98,良,83,aqi_redis_spider,17,2018-05-12 08:19:52.415000,2016-04-10,93,61
74,上海,0.9,100,轻度污染,176,aqi_redis_spider,15,2018-05-12 08:19:52.417000,2016-05-06,115,38
61,上海,0.5,235,轻度污染,130,aqi_redis_spider,10,2018-05-12 08:19:52.420000,2016-05-07,143,32
26,上海,0.5,73,良,106,aqi_redis_spider,11,2018-05-12 08:19:52.423000,2016-05-08,62,30
46,上海,0.6,62,良,90,aqi_redis_spider,10,2018-05-12 08:19:52.427000,2016-05-09,65,52
68,上海,1.2,76,良,48,aqi_redis_spider,22,2018-05-12 08:19:52.429000,2017-01-02,92,65
96,上海,1.2,98,轻度污染,73,aqi_redis_spider,18,2018-05-12 08:19:52.431000,2017-01-03,127,74
52,上海,0.9,64,良,73,aqi_redis_spider,21,2018-05-12 08:19:52.433000,2017-01-04,90,72
26,上海,0.8,26,良,85,aqi_redis_spider,13,2018-05-12 08:19:52.436000,2017-01-05,55,44
20,上海,0.7,28,良,54,aqi_redis_spider,13,2018-05-12 08:19:52.439000,2017-01-06,63,50
18,上海,0.6,33,优,92,aqi_redis_spider,9,2018-05-12 08:19:52.442000,2015-07-12,46,22
77,上海,0.8,107,中度污染,235,aqi_redis_spider,17,2018-05-12 08:19:52.444000,2015-07-13,170,41
79,上海,0.8,110,轻度污染,212,aqi_redis_spider,12,2018-05-12 08:19:52.452000,2015-07-14,147,45
16,上海,0.6,31,优,60,aqi_redis_spider,8,2018-05-12 08:19:52.455000,2015-08-10,31,14
19,上海,0.6,33,优,100,aqi_redis_spider,10,2018-05-12 08:19:52.459000,2015-08-11,50,21
29,上海,0.8,51,良,102,aqi_redis_spider,14,2018-05-12 08:19:52.462000,2015-08-12,52,28
